# Array shape: (5, 5, 10, 16)
-0.057000 0.029000 -0.042000 0.231000 0.010000
0.080000 -0.154000 -0.136000 0.061000 0.012000
# 2-D slice -> max_value: 0.241000, min_value:-0.196000 
#
# -------- Slice 8/10 --------
-0.017000 -0.056000 0.091000 0.037000 0.191000
-0.060000 0.152000 0.052000 0.166000 -0.050000
-0.188000 0.012000 -0.032000 0.147000 -0.060000
-0.004000 -0.126000 0.062000 0.127000 0.091000
-0.140000 -0.034000 -0.121000 -0.097000 0.017000
# 2-D slice -> max_value: 0.191000, min_value:-0.188000 
#
# -------- Slice 9/10 --------
0.063000 0.087000 0.098000 0.186000 -0.070000
-0.054000 -0.070000 0.115000 0.275000 0.093000
0.076000 -0.184000 0.008000 0.097000 0.025000
0.030000 -0.061000 -0.011000 0.097000 -0.080000
0.057000 -0.065000 -0.081000 0.132000 0.013000
# 2-D slice -> max_value: 0.275000, min_value:-0.184000 
#
# -------- Slice 10/10 --------
-0.122000 0.002000 0.140000 0.205000 0.058000
-0.073000 0.133000 0.118000 0.112000 0.195000
-0.062000 0.023000 0.213000 0.169000 0.083000
0.001000 0.044000 0.003000 -0.014000 -0.149000
0.058000 0.186000 -0.138000 0.157000 0.048000
# 2-D slice -> max_value: 0.213000, min_value:-0.149000 
#
# ========================== Block 12/16 ==========================
#
# -------- Slice 1/10 --------
-0.037000 -0.063000 0.170000 -0.023000 0.172000
0.058000 -0.131000 0.154000 -0.064000 -0.199000
0.012000 -0.070000 0.121000 -0.083000 0.022000
-0.006000 -0.005000 0.215000 -0.002000 -0.081000
-0.014000 -0.123000 0.094000 -0.051000 -0.045000
# 2-D slice -> max_value: 0.215000, min_value:-0.199000 
#
# -------- Slice 2/10 --------
0.085000 -0.112000 -0.036000 0.065000 -0.087000
-0.096000 -0.070000 0.018000 -0.027000 -0.072000
-0.138000 -0.045000 -0.092000 -0.016000 -0.229000
0.043000 0.142000 0.148000 -0.105000 -0.129000
0.016000 -0.075000 0.014000 -0.075000 -0.157000
# 2-D slice -> max_value: 0.148000, min_value:-0.229000 
#
# -------- Slice 3/10 --------
-0.003000 0.169000 0.115000 -0.104000 -0.008000
0.001000 0.108000 0.041000 0.046000 0.132000
0.018000 0.008000 -0.078000 -0.058000 0.228000
0.137000 0.058000 0.034000 0.187000 -0.055000
-0.092000 0.007000 0.019000 0.009000 0.147000
# 2-D slice -> max_value: 0.228000, min_value:-0.104000 
#
# -------- Slice 4/10 --------
-0.202000 -0.044000 0.055000 -0.141000 -0.034000
-0.078000 -0.058000 0.080000 -0.184000 -0.063000
-0.017000 -0.003000 0.137000 -0.259000 0.007000
0.128000 0.078000 0.058000 -0.222000 -0.067000
-0.142000 0.042000 0.015000 -0.079000 -0.112000
# 2-D slice -> max_value: 0.137000, min_value:-0.259000 
#
# -------- Slice 5/10 --------
0.056000 -0.063000 0.075000 0.116000 0.109000
0.181000 -0.016000 0.063000 0.163000 -0.043000
-0.090000 -0.066000 0.044000 0.087000 0.004000
0.064000 0.006000 0.111000 -0.142000 -0.080000
-0.019000 0.021000 -0.011000 0.185000 -0.089000
# 2-D slice -> max_value: 0.185000, min_value:-0.142000 
#
# -------- Slice 6/10 --------
0.097000 -0.111000 0.062000 0.118000 0.201000
0.054000 -0.031000 -0.172000 -0.052000 -0.086000
0.070000 -0.064000 0.058000 0.110000 0.141000
0.130000 -0.107000 -0.068000 0.162000 -0.131000
0.176000 0.229000 0.102000 0.105000 -0.060000
# 2-D slice -> max_value: 0.229000, min_value:-0.172000 
#
# -------- Slice 7/10 --------
-0.092000 0.096000 -0.024000 0.013000 0.018000
0.136000 -0.075000 0.096000 0.005000 0.170000
0.252000 0.039000 0.044000 -0.057000 0.038000
0.066000 0.043000 0.104000 -0.100000 -0.086000
0.204000 0.105000 0.140000 0.018000 -0.210000
# 2-D slice -> max_value: 0.252000, min_value:-0.210000 
#
# -------- Slice 8/10 --------
-0.015000 -0.017000 -0.173000 -0.099000 -0.095000
-0.018000 0.075000 0.114000 0.037000 -0.181000
0.089000 -0.040000 0.098000 -0.089000 -0.027000
0.138000 -0.025000 -0.018000 -0.120000 -0.129000
0.027000 0.005000 -0.003000 -0.121000 0.028000
# 2-D slice -> max_value: 0.138000, min_value:-0.181000 
#
# -------- Slice 9/10 --------
-0.015000 -0.185000 0.059000 -0.022000 -0.149000
-0.079000 0.029000 0.099000 -0.045000 0.120000
0.018000 -0.050000 -0.087000 0.212000 -0.106000
0.129000 0.088000 -0.131000 0.154000 -0.130000
-0.043000 0.048000 0.007000 0.103000 -0.179000
# 2-D slice -> max_value: 0.212000, min_value:-0.185000 
#
# -------- Slice 10/10 --------
-0.039000 0.149000 0.021000 0.094000 -0.055000
-0.017000 -0.037000 0.043000 0.054000 0.087000
0.115000 -0.001000 0.035000 -0.019000 -0.042000
0.000000 0.174000 -0.033000 0.066000 -0.078000
-0.037000 0.130000 -0.200000 0.208000 -0.130000
# 2-D slice -> max_value: 0.208000, min_value:-0.200000 
#
# ========================== Block 13/16 ==========================
#
# -------- Slice 1/10 --------
0.014000 -0.013000 0.052000 -0.086000 0.044000
0.062000 0.009000 0.110000 0.123000 -0.082000
0.185000 0.218000 0.050000 0.139000 0.130000
0.036000 0.101000 0.065000 -0.034000 0.192000
0.078000 0.221000 0.074000 0.070000 0.066000
# 2-D slice -> max_value: 0.221000, min_value:-0.086000 
#
# -------- Slice 2/10 --------
0.104000 -0.026000 -0.015000 -0.041000 0.062000
0.184000 -0.065000 -0.061000 0.150000 -0.109000
0.017000 0.204000 0.232000 0.114000 -0.026000
0.246000 0.065000 -0.068000 -0.177000 -0.165000
0.258000 -0.026000 -0.057000 -0.082000 -0.098000
# 2-D slice -> max_value: 0.258000, min_value:-0.177000 
#
# -------- Slice 3/10 --------
-0.011000 -0.046000 -0.062000 -0.006000 -0.046000
0.082000 -0.011000 0.076000 -0.028000 -0.063000
-0.016000 -0.005000 -0.078000 -0.076000 -0.109000
0.065000 -0.016000 0.058000 -0.066000 -0.129000
0.019000 -0.025000 0.031000 -0.111000 0.091000
# 2-D slice -> max_value: 0.091000, min_value:-0.129000 
#
# -------- Slice 4/10 --------
-0.200000 -0.008000 0.013000 0.099000 -0.221000
-0.170000 -0.053000 -0.100000 -0.168000 -0.136000
0.124000 0.030000 -0.072000 -0.034000 -0.169000
0.128000 -0.088000 0.010000 -0.052000 -0.161000
0.070000 -0.053000 0.056000 -0.127000 -0.244000
# 2-D slice -> max_value: 0.128000, min_value:-0.244000 
#
# -------- Slice 5/10 --------
-0.166000 0.008000 0.149000 0.127000 0.052000
0.058000 0.108000 -0.058000 0.078000 -0.007000
-0.216000 0.116000 -0.026000 0.022000 -0.003000
0.039000 -0.228000 -0.086000 0.062000 0.083000
-0.135000 0.123000 0.184000 0.072000 0.126000
# 2-D slice -> max_value: 0.184000, min_value:-0.228000 
#
# -------- Slice 6/10 --------
-0.111000 -0.002000 -0.029000 -0.058000 -0.071000
0.064000 -0.085000 -0.102000 0.077000 0.096000
0.177000 -0.116000 0.069000 -0.010000 -0.029000
-0.045000 0.129000 0.008000 0.028000 -0.099000
0.117000 0.245000 0.081000 -0.053000 0.157000
# 2-D slice -> max_value: 0.245000, min_value:-0.116000 
#
# -------- Slice 7/10 --------
0.010000 -0.160000 -0.067000 0.200000 0.155000
0.027000 0.114000 0.154000 0.225000 0.046000
0.056000 0.200000 -0.063000 0.045000 0.046000
0.112000 0.061000 -0.073000 -0.140000 -0.105000
-0.046000 -0.098000 -0.085000 0.163000 0.127000
# 2-D slice -> max_value: 0.225000, min_value:-0.160000 
#
# -------- Slice 8/10 --------
0.049000 -0.042000 -0.083000 -0.028000 -0.214000
0.067000 0.093000 0.061000 -0.136000 -0.090000
0.173000 0.028000 0.207000 0.049000 -0.016000
0.212000 -0.126000 -0.137000 -0.019000 0.009000
0.075000 0.153000 0.150000 -0.130000 -0.022000
# 2-D slice -> max_value: 0.212000, min_value:-0.214000 
#
# -------- Slice 9/10 --------
0.132000 0.101000 -0.243000 0.009000 -0.026000
-0.084000 -0.001000 0.063000 0.135000 -0.067000
0.200000 0.234000 0.040000 -0.106000 0.109000
0.098000 0.187000 0.210000 -0.066000 0.055000
0.251000 0.032000 0.057000 0.218000 -0.001000
# 2-D slice -> max_value: 0.251000, min_value:-0.243000 
#
# -------- Slice 10/10 --------
-0.050000 0.127000 -0.132000 -0.086000 0.067000
0.075000 -0.023000 0.016000 0.049000 0.046000
0.132000 -0.007000 0.095000 0.073000 0.005000
0.000000 0.005000 0.176000 0.061000 0.149000
0.040000 -0.063000 -0.046000 0.085000 0.063000
# 2-D slice -> max_value: 0.176000, min_value:-0.132000 
#
# ========================== Block 14/16 ==========================
#
# -------- Slice 1/10 --------
-0.054000 0.009000 0.112000 -0.170000 -0.038000
0.034000 -0.203000 -0.012000 0.008000 -0.148000
0.049000 0.136000 -0.012000 0.058000 -0.079000
0.117000 0.042000 0.074000 -0.194000 -0.017000
-0.183000 -0.060000 0.077000 -0.011000 0.034000
# 2-D slice -> max_value: 0.136000, min_value:-0.203000 
#
# -------- Slice 2/10 --------
-0.247000 -0.098000 -0.018000 0.001000 0.145000
-0.205000 -0.066000 -0.221000 0.106000 0.047000
-0.119000 -0.092000 -0.028000 -0.072000 0.024000
-0.120000 0.206000 0.056000 0.120000 0.207000
0.196000 0.122000 -0.160000 0.054000 0.187000
# 2-D slice -> max_value: 0.207000, min_value:-0.247000 
#
# -------- Slice 3/10 --------
0.151000 0.057000 0.114000 -0.006000 0.107000
-0.077000 0.166000 0.062000 0.078000 0.054000
-0.021000 -0.137000 -0.070000 0.097000 0.023000
-0.008000 -0.005000 0.197000 0.080000 0.047000
0.018000 -0.099000 0.111000 0.000000 -0.039000
# 2-D slice -> max_value: 0.197000, min_value:-0.137000 
#
# -------- Slice 4/10 --------
-0.305000 0.005000 0.126000 0.147000 0.050000
-0.186000 -0.167000 0.078000 -0.078000 0.076000
-0.089000 0.088000 0.020000 -0.063000 0.259000
0.005000 -0.178000 0.037000 -0.013000 0.189000
-0.015000 -0.101000 0.157000 -0.069000 0.272000
# 2-D slice -> max_value: 0.272000, min_value:-0.305000 
#
# -------- Slice 5/10 --------
0.057000 0.074000 0.121000 0.161000 -0.111000
0.014000 0.136000 0.042000 -0.092000 -0.027000
0.107000 0.028000 0.083000 -0.185000 0.083000
0.049000 0.025000 0.006000 -0.035000 -0.193000
-0.062000 -0.142000 -0.180000 -0.086000 0.105000
# 2-D slice -> max_value: 0.161000, min_value:-0.193000 
#
# -------- Slice 6/10 --------
0.137000 -0.094000 -0.005000 0.021000 -0.121000
-0.031000 0.086000 0.042000 0.048000 -0.104000
0.143000 -0.105000 0.042000 -0.050000 -0.196000
-0.010000 0.057000 0.039000 -0.141000 0.106000
-0.166000 0.087000 0.106000 0.052000 -0.062000
# 2-D slice -> max_value: 0.143000, min_value:-0.196000 
#
# -------- Slice 7/10 --------
-0.149000 -0.184000 -0.113000 -0.037000 -0.089000
-0.088000 -0.141000 -0.029000 -0.067000 -0.008000
0.161000 -0.088000 0.004000 -0.132000 0.056000
-0.063000 0.129000 0.148000 0.011000 -0.089000
0.022000 -0.131000 0.155000 0.134000 0.074000
# 2-D slice -> max_value: 0.161000, min_value:-0.184000 
#
# -------- Slice 8/10 --------
-0.045000 -0.224000 -0.192000 0.012000 0.136000
-0.285000 -0.195000 -0.158000 0.017000 0.046000
-0.227000 -0.252000 -0.031000 0.075000 -0.040000
0.155000 -0.027000 -0.129000 -0.188000 0.137000
0.105000 0.089000 0.008000 -0.140000 0.274000
# 2-D slice -> max_value: 0.274000, min_value:-0.285000 
#
# -------- Slice 9/10 --------
-0.128000 -0.101000 -0.363000 0.040000 -0.030000
0.025000 -0.071000 -0.025000 0.308000 -0.092000
0.193000 0.117000 -0.030000 0.144000 -0.272000
-0.102000 0.045000 -0.181000 -0.017000 -0.005000
0.180000 0.062000 -0.118000 0.173000 0.025000
# 2-D slice -> max_value: 0.308000, min_value:-0.363000 
#
# -------- Slice 10/10 --------
0.095000 -0.101000 -0.127000 0.063000 -0.155000
-0.167000 -0.099000 -0.097000 -0.085000 -0.098000
-0.016000 -0.256000 0.125000 -0.021000 -0.107000
-0.030000 -0.044000 -0.149000 -0.047000 0.008000
-0.087000 -0.110000 -0.013000 -0.051000 -0.115000
# 2-D slice -> max_value: 0.125000, min_value:-0.256000 
#
# ========================== Block 15/16 ==========================
#
# -------- Slice 1/10 --------
-0.107000 0.004000 0.204000 0.047000 -0.068000
-0.043000 -0.061000 0.152000 0.152000 -0.166000
-0.076000 0.017000 0.065000 -0.084000 -0.013000
-0.047000 0.070000 -0.045000 -0.101000 0.032000
-0.146000 0.011000 0.037000 -0.014000 -0.087000
# 2-D slice -> max_value: 0.204000, min_value:-0.166000 
#
# -------- Slice 2/10 --------
-0.162000 0.032000 -0.099000 -0.039000 -0.120000
-0.111000 -0.052000 0.123000 -0.113000 -0.064000
-0.023000 -0.075000 0.031000 -0.008000 -0.086000
-0.078000 -0.135000 -0.201000 0.021000 -0.099000
-0.067000 0.173000 -0.183000 0.119000 0.002000
# 2-D slice -> max_value: 0.173000, min_value:-0.201000 
#
# -------- Slice 3/10 --------
0.117000 0.016000 0.168000 -0.066000 0.086000
-0.010000 0.148000 0.162000 0.007000 0.056000
-0.154000 0.103000 0.145000 0.043000 0.072000
-0.034000 0.089000 0.047000 0.005000 0.133000
0.051000 0.012000 0.059000 -0.129000 0.047000
# 2-D slice -> max_value: 0.168000, min_value:-0.154000 
#
# -------- Slice 4/10 --------
0.101000 0.063000 -0.014000 0.033000 -0.014000
-0.199000 -0.019000 0.125000 -0.193000 0.042000
0.099000 0.034000 0.075000 -0.194000 0.014000
0.020000 -0.142000 0.002000 -0.086000 0.245000
0.114000 -0.062000 0.188000 0.102000 0.115000
# 2-D slice -> max_value: 0.245000, min_value:-0.199000 
#
# -------- Slice 5/10 --------
0.064000 -0.064000 0.090000 -0.105000 -0.048000
0.033000 -0.019000 0.113000 0.115000 0.108000
-0.153000 0.028000 0.051000 0.051000 0.043000
0.011000 0.103000 -0.053000 0.079000 0.108000
0.134000 0.023000 0.195000 -0.007000 0.162000
# 2-D slice -> max_value: 0.195000, min_value:-0.153000 
#
# -------- Slice 6/10 --------
0.011000 -0.147000 -0.087000 0.036000 0.068000
-0.132000 -0.100000 -0.005000 0.049000 0.043000
-0.130000 -0.096000 -0.007000 -0.073000 0.005000
-0.150000 -0.089000 -0.001000 -0.071000 0.113000
0.019000 -0.152000 -0.021000 0.183000 0.027000
# 2-D slice -> max_value: 0.183000, min_value:-0.152000 
#
# -------- Slice 7/10 --------
0.035000 0.004000 0.041000 -0.044000 0.080000
-0.041000 0.027000 -0.135000 0.095000 -0.059000
-0.228000 -0.001000 -0.160000 0.045000 0.008000
-0.022000 -0.020000 -0.011000 -0.022000 0.173000
0.117000 0.026000 -0.161000 0.017000 -0.013000
# 2-D slice -> max_value: 0.173000, min_value:-0.228000 
#
# -------- Slice 8/10 --------
-0.024000 -0.023000 -0.006000 0.105000 -0.208000
0.001000 -0.031000 0.162000 -0.093000 -0.100000
0.047000 0.021000 0.055000 -0.142000 0.093000
0.026000 0.035000 0.122000 -0.024000 0.160000
-0.110000 -0.096000 -0.006000 -0.146000 -0.152000
# 2-D slice -> max_value: 0.162000, min_value:-0.208000 
#
# -------- Slice 9/10 --------
-0.130000 -0.016000 -0.208000 -0.110000 0.030000
-0.127000 -0.214000 -0.167000 0.077000 -0.056000
-0.004000 0.012000 0.119000 -0.114000 -0.033000
-0.085000 -0.048000 0.175000 -0.014000 -0.205000
0.193000 0.097000 0.148000 -0.058000 -0.005000
# 2-D slice -> max_value: 0.193000, min_value:-0.214000 
#
# -------- Slice 10/10 --------
0.017000 0.093000 0.172000 0.143000 -0.065000
-0.149000 0.105000 0.166000 0.161000 0.013000
-0.134000 -0.150000 -0.139000 -0.078000 0.084000
0.095000 0.034000 -0.014000 0.120000 -0.025000
0.111000 -0.025000 0.107000 0.065000 -0.075000
# 2-D slice -> max_value: 0.172000, min_value:-0.150000 
#
# ========================== Block 16/16 ==========================
#
# -------- Slice 1/10 --------
0.033000 -0.007000 -0.038000 0.003000 -0.127000
0.124000 -0.001000 -0.155000 0.031000 -0.012000
0.141000 -0.012000 -0.048000 -0.005000 -0.124000
0.051000 -0.021000 -0.090000 0.092000 -0.071000
0.152000 -0.013000 0.015000 0.159000 0.080000
# 2-D slice -> max_value: 0.159000, min_value:-0.155000 
#
# -------- Slice 2/10 --------
0.045000 -0.013000 -0.172000 -0.225000 -0.075000
0.053000 -0.021000 -0.104000 0.012000 0.048000
-0.138000 0.088000 -0.206000 0.022000 0.230000
-0.107000 -0.059000 -0.024000 0.004000 0.001000
-0.062000 -0.106000 -0.006000 0.003000 0.106000
# 2-D slice -> max_value: 0.230000, min_value:-0.225000 
#
# -------- Slice 3/10 --------
-0.028000 -0.086000 -0.005000 -0.167000 0.052000
0.175000 0.159000 0.010000 0.162000 0.138000
0.076000 0.042000 -0.060000 0.154000 0.078000
-0.076000 0.151000 -0.115000 -0.082000 -0.016000
-0.047000 0.030000 -0.034000 -0.178000 0.084000
# 2-D slice -> max_value: 0.175000, min_value:-0.178000 
#
# -------- Slice 4/10 --------
0.112000 0.119000 -0.119000 -0.130000 0.135000
-0.061000 0.165000 0.110000 0.094000 0.057000
0.125000 -0.015000 0.130000 -0.152000 -0.008000
0.052000 -0.131000 -0.058000 0.065000 0.167000
0.149000 0.121000 0.010000 -0.138000 0.099000
# 2-D slice -> max_value: 0.167000, min_value:-0.152000 
#
# -------- Slice 5/10 --------
-0.159000 0.022000 0.019000 -0.024000 -0.040000
0.047000 0.029000 0.105000 0.002000 -0.003000
0.012000 -0.098000 -0.055000 0.015000 0.003000
-0.086000 -0.058000 0.029000 -0.130000 -0.078000
0.025000 0.102000 -0.064000 0.186000 -0.145000
# 2-D slice -> max_value: 0.186000, min_value:-0.159000 
#
# -------- Slice 6/10 --------
0.078000 -0.021000 0.168000 -0.005000 0.133000
0.155000 -0.073000 0.083000 -0.045000 -0.112000
0.117000 -0.059000 0.044000 0.044000 -0.047000
-0.188000 -0.067000 -0.107000 -0.128000 0.031000
0.253000 -0.164000 -0.239000 -0.192000 0.010000
# 2-D slice -> max_value: 0.253000, min_value:-0.239000 
#
# -------- Slice 7/10 --------
-0.069000 0.131000 -0.066000 -0.038000 0.017000
-0.116000 -0.186000 0.095000 -0.070000 -0.039000
-0.044000 0.008000 0.057000 0.149000 0.031000
0.102000 0.109000 0.033000 0.152000 0.023000
-0.157000 -0.088000 0.037000 0.047000 -0.028000
# 2-D slice -> max_value: 0.152000, min_value:-0.186000 
#
# -------- Slice 8/10 --------
-0.040000 0.181000 0.086000 -0.148000 -0.039000
-0.084000 0.073000 -0.076000 -0.049000 0.001000
-0.116000 -0.061000 0.190000 0.096000 -0.040000
0.136000 0.070000 -0.036000 0.038000 0.214000
0.085000 -0.049000 -0.023000 -0.044000 0.180000
# 2-D slice -> max_value: 0.214000, min_value:-0.148000 
#
# -------- Slice 9/10 --------
-0.172000 -0.172000 -0.036000 -0.115000 -0.131000
-0.028000 -0.158000 -0.085000 -0.166000 0.042000
0.132000 -0.136000 0.008000 0.103000 0.129000
0.060000 0.038000 0.089000 -0.037000 0.002000
-0.005000 0.072000 -0.010000 -0.111000 0.157000
# 2-D slice -> max_value: 0.157000, min_value:-0.172000 
#
# -------- Slice 10/10 --------
0.002000 0.209000 0.211000 0.084000 -0.149000
-0.047000 0.202000 -0.060000 0.006000 -0.152000
0.040000 -0.120000 -0.220000 0.026000 0.058000
-0.081000 -0.124000 0.048000 0.110000 -0.108000
-0.013000 0.009000 -0.171000 -0.182000 0.080000
# 2-D slice -> max_value: 0.211000, min_value:-0.220000 
